지역,일자,지명,주소,좌표
경기,5/7,코로나19수지구보건소선별진료소,경기용인시수지구풍덕천동720,"37.3221916779058,127.09683791577301"
경기,5/5,코로나19기흥구보건소선별진료소,경기용인시기흥구신갈동60-3,"37.272608430459805,127.10639859028402"
경기,5/5,CU도농빙그레점,경기남양주시다산동4302,"37.60977221099876,127.15204336535086"
경기,5/7,코로나19구리시보건소선별진료소,경기구리시인창동674-3,"37.6047390429208,127.14507969978898"
경기,5/9,경기도의료원수원병원,경기수원시장안구정자동886-9,"37.29185913925371,126.99637759217902"
서울,5/9,다모토리5,서울서대문구창천동53-11,"37.5580306423026,126.934837061033"
경기,5/5,올리브영성남점,경기성남시중원구성남동3493,"37.43205654489105,127.1295241212696"
경기,5/6,빽다방성남의료원점,경기성남시수정구신흥동5520,"37.442963755517425,127.1394465593456"
경기,5/6,맘스터치모란역점,경기성남시중원구성남동3495,"37.4317898001048,127.12956433692001"
경기,5/7,수필호텔,경기성남시중원구성남동3206,"37.43340323125356,127.1298269932381"
인천,5/8,코로나19부평구보건소선별진료소,인천부평구부평동442-1,"37.49883370697678,126.724246834459"
서울,5/4,GS25광진팰리스점,서울광진구자양동854,"37.532296807592495,127.067480244503"
서울,5/4,GS25한강뚝섬2호점,서울광진구자양동97-5,"37.53008593341722,127.06555608889879"
서울,5/4,오렌즈건대입구점,서울광진구화양동6-1,"37.540349945387,127.07056972150625"
서울,5/5,동서울종합터미널,서울광진구구의동546-1,"37.534606712498686,127.09418832294101"
